check_id,check_name,dimension,severity,exceptions_found,claims_affected,financial_impact_usd,exception_rate_pct,result,failure_condition,escalation
DQ-01,Duplicate claim identifiers,Uniqueness,CRITICAL,90,90,14030.00,0.358,FAIL,The same claim_id appears on more than one row in the claims extract.,Hold the batch. Raise a P2 ticket with the interface team; do not release to the payer until the resend is collapsed to one row.
DQ-02,Duplicate billing fingerprint,Uniqueness,CRITICAL,140,140,25936.00,0.557,FAIL,"Two or more distinct claim_ids share patient_id, provider_npi, date_of_service, cpt_code and billed_amount.","Route to the Charge Entry lead for clinical confirmation before submission. Duplicate billing is a compliance exposure, not just a data issue."
DQ-03,Duplicate remittance posting,Uniqueness,CRITICAL,75,75,7536.98,0.298,FAIL,The same claim_id is posted more than once against the same check/EFT number for the same paid amount.,Freeze posting for the affected check. Notify Cash Posting supervisor same day; reversal must be booked before month-end close.
DQ-04,Orphaned remittance record,Integrity,CRITICAL,120,120,13269.45,0.477,FAIL,A remittance line references a claim_id that does not exist in the claims extract.,"Return to the Cash Posting queue. If the claim cannot be located within 2 business days, escalate to the payer as an unidentified payment."
DQ-05,Missing remittance for paid claim,Completeness,HIGH,60,60,12524.00,0.239,FAIL,A claim carries status PAID in the billing system but no remittance line was received.,Route to A/R Follow-up. Status is unsupported by cash; correct the claim status or locate the missing 835.
DQ-06,Claim-to-payment amount mismatch,Consistency,CRITICAL,310,310,9765.55,1.233,FAIL,"billed_amount <> paid_amount + patient_responsibility + contractual_adjustment, beyond a USD 0.01 rounding tolerance.",Route to Payment Variance analyst with the claim and remittance evidence. Anything above USD 500 goes to the Payer Relations lead the same day.
DQ-07,Overpayment,Consistency,CRITICAL,45,45,1495.36,0.179,FAIL,Total paid on a claim exceeds the billed charge.,Report to Refunds/Credit Balance immediately. Overpayments carry a statutory refund clock; do not hold in a working file.
DQ-08,Allowed amount below contract,Consistency,HIGH,200,200,4140.21,0.796,FAIL,Remitted allowed_amount is more than 10% below the contracted expected_allowed_amount on an adjudicated (non-denied) claim.,"Bundle by payer and route to Contract Management for an underpayment appeal. Escalate at 25 claims or USD 5,000, whichever comes first."
DQ-09,Unmapped payer identifier,Integrity,HIGH,55,55,8665.00,0.219,FAIL,payer_id on the claim is blank or absent from the payer master.,Return to the Enrollment/Payer Maintenance owner. Claim cannot be routed or reconciled until the payer is mapped.
DQ-10,Invalid provider NPI,Validity,HIGH,70,70,12923.00,0.278,FAIL,provider_npi is not 10 numeric digits or fails the Luhn check digit over the 80840 prefix.,Return to Provider Data Management. A claim with an invalid NPI will reject at the clearinghouse.
DQ-11,Temporal integrity break,Timeliness,MEDIUM,85,85,0.00,0.338,FAIL,"Remittance dated before the date of service, claim submitted before the date of service, or a date of service in the future.",Route to the source-system owner. Recurring breaks in one feed indicate a mapping or timezone defect and go to the interface team.
DQ-12,Missing or malformed mandatory field,Completeness,HIGH,130,130,18831.00,0.517,FAIL,"patient_id, date_of_service, cpt_code, icd10_code or billed_amount is blank, malformed, zero or negative.",Return to Charge Entry for correction. Claim is not submittable and must not be counted in reconciliation totals.
