cpt_code,cpt_description,standard_charge
12001,"Simple wound repair, 2.5 cm or less",196.00
20610,"Arthrocentesis, major joint",223.00
36415,Routine venipuncture,18.00
71046,"Chest X-ray, 2 views",97.00
73630,"Foot X-ray, complete",89.00
80053,Comprehensive metabolic panel,62.00
85025,Complete blood count with differential,48.00
87635,SARS-CoV-2 amplified probe technique,102.00
90471,Immunization administration,41.00
93000,"Electrocardiogram, complete",74.00
99203,"Office visit, new patient, 30-44 min",248.00
99204,"Office visit, new patient, 45-59 min",375.00
99213,"Office visit, established patient, 20-29 min",185.00
99214,"Office visit, established patient, 30-39 min",264.00
99215,"Office visit, established patient, 40-54 min",369.00
99396,"Preventive visit, established, 40-64 yrs",312.00
