defect_ref,check_id,entity_type,entity_key,description
INJ-0001,DQ-01,claim,CLM-2026-019445,Exact claim_id re-submitted under a resend batch
INJ-0002,DQ-01,claim,CLM-2026-012305,Exact claim_id re-submitted under a resend batch
INJ-0003,DQ-01,claim,CLM-2026-011985,Exact claim_id re-submitted under a resend batch
INJ-0004,DQ-01,claim,CLM-2026-010549,Exact claim_id re-submitted under a resend batch
INJ-0005,DQ-01,claim,CLM-2026-002609,Exact claim_id re-submitted under a resend batch
INJ-0006,DQ-01,claim,CLM-2026-005736,Exact claim_id re-submitted under a resend batch
INJ-0007,DQ-01,claim,CLM-2026-016993,Exact claim_id re-submitted under a resend batch
INJ-0008,DQ-01,claim,CLM-2026-008342,Exact claim_id re-submitted under a resend batch
INJ-0009,DQ-01,claim,CLM-2026-007793,Exact claim_id re-submitted under a resend batch
INJ-0010,DQ-01,claim,CLM-2026-011124,Exact claim_id re-submitted under a resend batch
INJ-0011,DQ-01,claim,CLM-2026-002902,Exact claim_id re-submitted under a resend batch
INJ-0012,DQ-01,claim,CLM-2026-020990,Exact claim_id re-submitted under a resend batch
INJ-0013,DQ-01,claim,CLM-2026-017192,Exact claim_id re-submitted under a resend batch
INJ-0014,DQ-01,claim,CLM-2026-018314,Exact claim_id re-submitted under a resend batch
INJ-0015,DQ-01,claim,CLM-2026-002267,Exact claim_id re-submitted under a resend batch
INJ-0016,DQ-01,claim,CLM-2026-014879,Exact claim_id re-submitted under a resend batch
INJ-0017,DQ-01,claim,CLM-2026-022633,Exact claim_id re-submitted under a resend batch
INJ-0018,DQ-01,claim,CLM-2026-003961,Exact claim_id re-submitted under a resend batch
INJ-0019,DQ-01,claim,CLM-2026-013024,Exact claim_id re-submitted under a resend batch
INJ-0020,DQ-01,claim,CLM-2026-003428,Exact claim_id re-submitted under a resend batch
INJ-0021,DQ-01,claim,CLM-2026-005639,Exact claim_id re-submitted under a resend batch
INJ-0022,DQ-01,claim,CLM-2026-005958,Exact claim_id re-submitted under a resend batch
INJ-0023,DQ-01,claim,CLM-2026-019764,Exact claim_id re-submitted under a resend batch
INJ-0024,DQ-01,claim,CLM-2026-002942,Exact claim_id re-submitted under a resend batch
INJ-0025,DQ-01,claim,CLM-2026-013675,Exact claim_id re-submitted under a resend batch
INJ-0026,DQ-01,claim,CLM-2026-006775,Exact claim_id re-submitted under a resend batch
INJ-0027,DQ-01,claim,CLM-2026-002021,Exact claim_id re-submitted under a resend batch
INJ-0028,DQ-01,claim,CLM-2026-004323,Exact claim_id re-submitted under a resend batch
INJ-0029,DQ-01,claim,CLM-2026-003906,Exact claim_id re-submitted under a resend batch
INJ-0030,DQ-01,claim,CLM-2026-004243,Exact claim_id re-submitted under a resend batch
INJ-0031,DQ-01,claim,CLM-2026-006791,Exact claim_id re-submitted under a resend batch
INJ-0032,DQ-01,claim,CLM-2026-023945,Exact claim_id re-submitted under a resend batch
INJ-0033,DQ-01,claim,CLM-2026-020903,Exact claim_id re-submitted under a resend batch
INJ-0034,DQ-01,claim,CLM-2026-018117,Exact claim_id re-submitted under a resend batch
INJ-0035,DQ-01,claim,CLM-2026-007785,Exact claim_id re-submitted under a resend batch
INJ-0036,DQ-01,claim,CLM-2026-002383,Exact claim_id re-submitted under a resend batch
INJ-0037,DQ-01,claim,CLM-2026-023672,Exact claim_id re-submitted under a resend batch
INJ-0038,DQ-01,claim,CLM-2026-005782,Exact claim_id re-submitted under a resend batch
INJ-0039,DQ-01,claim,CLM-2026-011083,Exact claim_id re-submitted under a resend batch
INJ-0040,DQ-01,claim,CLM-2026-002504,Exact claim_id re-submitted under a resend batch
INJ-0041,DQ-01,claim,CLM-2026-017606,Exact claim_id re-submitted under a resend batch
INJ-0042,DQ-01,claim,CLM-2026-013083,Exact claim_id re-submitted under a resend batch
INJ-0043,DQ-01,claim,CLM-2026-019822,Exact claim_id re-submitted under a resend batch
INJ-0044,DQ-01,claim,CLM-2026-012124,Exact claim_id re-submitted under a resend batch
INJ-0045,DQ-01,claim,CLM-2026-009922,Exact claim_id re-submitted under a resend batch
INJ-0046,DQ-01,claim,CLM-2026-024851,Exact claim_id re-submitted under a resend batch
INJ-0047,DQ-01,claim,CLM-2026-016764,Exact claim_id re-submitted under a resend batch
INJ-0048,DQ-01,claim,CLM-2026-017415,Exact claim_id re-submitted under a resend batch
INJ-0049,DQ-01,claim,CLM-2026-015225,Exact claim_id re-submitted under a resend batch
INJ-0050,DQ-01,claim,CLM-2026-011587,Exact claim_id re-submitted under a resend batch
INJ-0051,DQ-01,claim,CLM-2026-007680,Exact claim_id re-submitted under a resend batch
INJ-0052,DQ-01,claim,CLM-2026-000678,Exact claim_id re-submitted under a resend batch
INJ-0053,DQ-01,claim,CLM-2026-015570,Exact claim_id re-submitted under a resend batch
INJ-0054,DQ-01,claim,CLM-2026-023205,Exact claim_id re-submitted under a resend batch
INJ-0055,DQ-01,claim,CLM-2026-009160,Exact claim_id re-submitted under a resend batch
INJ-0056,DQ-01,claim,CLM-2026-002288,Exact claim_id re-submitted under a resend batch
INJ-0057,DQ-01,claim,CLM-2026-020773,Exact claim_id re-submitted under a resend batch
INJ-0058,DQ-01,claim,CLM-2026-006374,Exact claim_id re-submitted under a resend batch
INJ-0059,DQ-01,claim,CLM-2026-014941,Exact claim_id re-submitted under a resend batch
INJ-0060,DQ-01,claim,CLM-2026-003942,Exact claim_id re-submitted under a resend batch
INJ-0061,DQ-01,claim,CLM-2026-005796,Exact claim_id re-submitted under a resend batch
INJ-0062,DQ-01,claim,CLM-2026-005264,Exact claim_id re-submitted under a resend batch
INJ-0063,DQ-01,claim,CLM-2026-019787,Exact claim_id re-submitted under a resend batch
INJ-0064,DQ-01,claim,CLM-2026-004274,Exact claim_id re-submitted under a resend batch
INJ-0065,DQ-01,claim,CLM-2026-003608,Exact claim_id re-submitted under a resend batch
INJ-0066,DQ-01,claim,CLM-2026-012098,Exact claim_id re-submitted under a resend batch
